City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Platteville,US,2021-08-03 15:44:15,42.7342,-90.4785,77.79,53,1,4.61
245,Meulaboh,ID,2021-08-03 15:44:15,4.1363,96.1285,77.81,87,76,5.03
246,Van Buren,US,2021-08-03 15:40:47,35.4368,-94.3483,82.36,72,1,3.0
247,Edd,ER,2021-08-03 15:44:16,13.9297,41.6925,90.46,67,61,6.2
248,Buraydah,SA,2021-08-03 15:42:51,26.326,43.975,106.25,8,6,8.37
249,Isangel,VU,2021-08-03 15:41:07,-19.55,169.2667,67.68,75,6,8.59
250,Mokokchung,IN,2021-08-03 15:44:16,26.3333,94.5333,66.33,98,97,3.4
251,Padang,ID,2021-08-03 15:43:10,-0.9492,100.3543,77.81,89,76,2.73
252,Touros,BR,2021-08-03 15:44:17,-5.1989,-35.4608,76.1,60,83,17.13
253,Shinjo,JP,2021-08-03 15:44:17,38.7586,140.3008,75.79,96,100,2.19
254,Jumla,NP,2021-08-03 15:44:18,29.2747,82.1838,64.92,96,86,3.38
255,Guerrero Negro,MX,2021-08-03 15:44:18,27.9769,-114.0611,80.02,53,43,2.73
256,Atar,MR,2021-08-03 15:44:18,20.5169,-13.0499,101.17,28,17,10.45
257,Tilichiki,RU,2021-08-03 15:44:19,60.4667,166.1,39.61,81,82,9.4
258,Zhanaozen,KZ,2021-08-03 15:44:19,43.3,52.8,95.85,13,38,11.1
259,Pangnirtung,CA,2021-08-03 15:40:41,66.1451,-65.7125,50.34,75,99,3.89
260,Macapa,BR,2021-08-03 15:44:19,0.0389,-51.0664,89.58,66,75,5.75
261,Hambantota,LK,2021-08-03 15:44:20,6.1241,81.1185,82.74,78,0,11.5
262,Laredo,US,2021-08-03 15:40:34,27.5064,-99.5075,82.85,83,75,3.44
263,Debre Tabor,ET,2021-08-03 15:44:20,11.85,38.0167,50.76,96,100,2.68
264,Samandag,TR,2021-08-03 15:44:21,36.0842,35.9771,93.72,51,0,6.96
265,Stephenville,US,2021-08-03 15:44:21,32.2207,-98.2023,80.73,65,40,3.44
266,Port Said,EG,2021-08-03 15:44:21,31.2565,32.2841,89.58,66,0,11.5
267,Veraval,IN,2021-08-03 15:44:21,20.9,70.3667,81.75,85,100,19.73
268,Muisne,EC,2021-08-03 15:44:22,0.6,-80.0333,80.71,80,98,8.37
269,Saint-Andre-Avellin,CA,2021-08-03 15:44:22,45.7168,-75.066,74.86,54,34,11.59
270,Khani,GE,2021-08-03 15:44:22,41.9563,42.9566,76.57,83,0,2.28
271,Gat,IL,2021-08-03 15:40:02,31.61,34.7642,94.41,35,0,10.8
272,Martin,US,2021-08-03 15:39:55,27.0837,-80.4164,89.94,77,100,7.23
273,Tuatapere,NZ,2021-08-03 15:44:23,-46.1333,167.6833,34.83,91,24,4.18
274,Victoria,HK,2021-08-03 15:43:44,22.2855,114.1577,84.38,82,63,5.99
275,Sorland,NO,2021-08-03 15:44:23,67.667,12.6934,53.67,80,92,9.71
276,Whittlesea,ZA,2021-08-03 15:44:24,-32.1759,26.8244,57.25,18,0,6.26
277,Chichawatni,PK,2021-08-03 15:44:24,30.5333,72.7,96.33,41,45,5.08
278,Miri,MY,2021-08-03 15:44:24,4.4148,114.0089,80.74,89,40,0.0
279,Mokshan,RU,2021-08-03 15:44:25,53.4365,44.6132,76.51,66,69,9.8
280,Sanming,CN,2021-08-03 15:44:25,26.2486,117.6186,77.97,96,100,2.51
281,Champerico,GT,2021-08-03 15:44:25,14.3,-91.9167,90.36,70,100,0.98
282,Kafue,ZM,2021-08-03 15:44:26,-15.7691,28.1814,69.37,25,0,10.31
283,Tabou,CI,2021-08-03 15:44:26,4.423,-7.3528,79.9,70,77,8.79
284,Medea,DZ,2021-08-03 15:41:26,36.2642,2.7539,72.05,63,53,9.1
285,Neuquen,AR,2021-08-03 15:41:54,-38.9516,-68.0591,60.69,48,0,2.3
286,Masuguru,TZ,2021-08-03 15:44:27,-11.3667,38.4167,80.69,32,32,2.51
287,Dzhebariki-Khaya,RU,2021-08-03 15:44:27,62.2167,135.8,55.15,73,1,2.08
288,Esperance,AU,2021-08-03 15:40:41,-33.8667,121.9,46.24,74,14,9.22
